Year,Population
2019,7.714576923
2018,7.632819325
2017,7.550262101
2016,7.466964280
2015,7.383008820
2014,7.298453033
2013,7.213426452
2012,7.128176935
2011,7.043008586
2010,6.958169159
2009,6.873741054
2008,6.789771253
2007,6.706418593
2006,6.623847913
2005,6.542159383
2004,6.461370865
2003,6.381408987
2002,6.302149639
2001,6.223412158
2000,6.145006989
